,university,course,type,review,votes,students,difficulty
108,Infosec,Introduction to Python for Cybersecurity,COURSE,4.6,13.0,,Intermediate
109,National Taiwan University,用 Python 做商管程式設計（二）(Programming for Business Computing in Python (2)),COURSE,4.6,187.0,6000.0,Intermediate
110,Università di Napoli Federico II,Python: Istruzioni per l’uso,COURSE,,,,Beginner
111,Rice University,Python Data Representations,COURSE,4.7,1003.0,20000.0,Beginner
112,Coursera Project Network,perform an A/B Test for an ad campaign using python,GUIDED PROJECT,,,,Beginner
113,Coursera Project Network,Build a Machine Learning Web App with Streamlit and Python,GUIDED PROJECT,4.7,341.0,9500.0,Intermediate
114,IBM,Анализ данных с использованием Python,COURSE,,,,Beginner
115,Coursera Project Network,"Classification Trees in Python, From Start To Finish",GUIDED PROJECT,4.6,215.0,8800.0,Intermediate
116,Coursera Project Network,Create Your First Game with Python,GUIDED PROJECT,4.5,539.0,12000.0,Intermediate
117,Coursera Project Network,Create an interactive fiction adventure game with Python,GUIDED PROJECT,4.6,67.0,2800.0,Beginner
118,Coursera Project Network,Image Compression and Generation using Variational Autoencoders in Python,GUIDED PROJECT,4.7,68.0,3100.0,Intermediate
119,Coursera Project Network,Python for Data Visualization: Matplotlib & Seaborn,GUIDED PROJECT,4.7,6.0,,Beginner
120,Coursera Project Network,Python for Finance: Beta and Capital Asset Pricing Model,GUIDED PROJECT,4.7,10.0,,Beginner
121,Coursera Project Network,Neural Network Visualizer Web App with Python,GUIDED PROJECT,4.5,226.0,6400.0,Intermediate
122,Coursera Project Network,Logistic Regression with Python and Numpy,GUIDED PROJECT,4.5,136.0,5400.0,Intermediate
123,Coursera Project Network,Introduction to Customer Segmentation in Python,GUIDED PROJECT,4.7,11.0,,Beginner
124,IBM,Python para Data Science y AI,COURSE,4.9,13.0,,Beginner
125,Infosec,"Python for Command-and-control, Exfiltration and Impact",COURSE,,,,Intermediate
126,Coursera Project Network,Create Your First Python Program,GUIDED PROJECT,4.6,1950.0,24000.0,Beginner
127,Coursera Project Network,Predict electricity consumption in Python using Scikit-Learn,GUIDED PROJECT,4.3,23.0,,Beginner
128,Coursera Project Network,"Reverse and complement nucleic acid sequences (DNA, RNA) using Python",GUIDED PROJECT,4.5,28.0,,Beginner
129,EDHEC Business School,Python and Machine Learning for Asset Management,COURSE,3.0,250.0,11000.0,Intermediate
130,University of Illinois at Urbana-Champaign,Machine Learning for Accounting with Python,COURSE,4.6,25.0,5800.0,Intermediate
131,LearnQuest,Introduction to Python Scripting for DevOps,COURSE,4.0,6.0,,Beginner
132,Universidad Austral,Programación Orientada a Objetos con Python,COURSE,4.0,199.0,12000.0,Beginner
133,National Taiwan University,用 Python 做商管程式設計（三）(Programming for Business Computing in Python (3)),COURSE,4.9,115.0,4600.0,Mixed
134,Rice University,An Introduction to Interactive Programming in Python (Part 2),COURSE,4.9,1124.0,45000.0,Beginner
135,Coursera Project Network,Dimensionality Reduction using an Autoencoder in Python,GUIDED PROJECT,4.6,91.0,3100.0,Intermediate
136,Coursera Project Network,Data Visualization with Python,GUIDED PROJECT,4.5,226.0,6600.0,Intermediate
137,Coursera Project Network,Python Pandas Basics: Load and Export Data,GUIDED PROJECT,4.4,7.0,,Beginner
138,Coursera Project Network,Facebook Network Analysis using Python and Networkx,GUIDED PROJECT,,,,Intermediate
139,Coursera Project Network,Traffic Sign Classification Using Deep Learning in Python/Keras,GUIDED PROJECT,4.6,340.0,9900.0,Intermediate
140,Coursera Project Network,Use Python Unit Test to Demonstrate TDD,GUIDED PROJECT,,,,Intermediate
141,Infosec,Python for Active Defense,COURSE,,,,Intermediate
142,Coursera Project Network,Automatic Machine Learning with H2O AutoML and Python,GUIDED PROJECT,4.8,130.0,6000.0,Intermediate
143,Coursera Project Network,Linear Regression with NumPy and Python,GUIDED PROJECT,4.4,829.0,16000.0,Intermediate
144,IBM,Python para a Ciência de Dados e IA,COURSE,,,,Beginner
145,IBM,Análisis de datos con Python,COURSE,4.9,7.0,,Beginner
146,IBM,Estadísticas para la Ciencia de Datos con Python,COURSE,,,,Mixed
147,HSE University,Сбор и анализ данных в Python,COURSE,,,,Intermediate
148,Coursera Project Network,"Cleaning, Reshaping, and Expanding Datasets in Python",GUIDED PROJECT,4.3,18.0,,Intermediate
149,Coursera Project Network,Image Denoising Using AutoEncoders in Keras and Python,GUIDED PROJECT,4.5,254.0,6400.0,Intermediate
150,Coursera Project Network,Web Services Analysis With Python & Wireshark,GUIDED PROJECT,3.5,10.0,,Beginner
151,Coursera Project Network,Snake game in Python: use Pygame to build your game,GUIDED PROJECT,,,,Intermediate
152,Coursera Project Network,Statistical Analysis using Python Numpy,GUIDED PROJECT,,,,Intermediate
153,Coursera Project Network,Chicken Invaders Game in Python using Pygame,GUIDED PROJECT,,,,Beginner
154,LearnQuest,DevOps and Build Automation with Python,COURSE,,,,Beginner
155,Coursera Project Network,"Merge, Sort and Filter Data in Python Pandas",GUIDED PROJECT,4.4,84.0,3000.0,Intermediate
156,Coursera Project Network,Use Python Regular Expressions to Process File Data,GUIDED PROJECT,,,,Intermediate
157,Coursera Project Network,Basic Artificial Neural Networks in Python,GUIDED PROJECT,4.1,148.0,7100.0,Intermediate
158,Coursera Project Network,Simulating Viral Pandemics in Python,GUIDED PROJECT,3.7,24.0,,Intermediate
159,Coursera Project Network,Introduction to Statistics in Python,GUIDED PROJECT,,,,Intermediate
